"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3","Open URL & assert title","","Tue Mar 04 22:56:48 GMT 2025","broken","Tue Mar 04 22:56:48 GMT 2025","","Home","",""
"","10599","Open About Page","","Tue Mar 04 22:55:58 GMT 2025","passed","Tue Mar 04 22:56:08 GMT 2025","","Home","",""
"","6287","get the text of all menu item & asset them","","Tue Mar 04 23:33:04 GMT 2025","passed","Tue Mar 04 23:33:10 GMT 2025","","Navigation Menu","",""
"","1833","Click logo & Asser url does not contain get started text","","Tue Mar 04 23:33:15 GMT 2025","passed","Tue Mar 04 23:33:17 GMT 2025","","Home","",""
"","2511","Click logo & Asser url does not contain get started text","","Tue Mar 04 22:56:10 GMT 2025","passed","Tue Mar 04 22:56:13 GMT 2025","","Home","",""
"","61800","get the text of all menu item & asset them","","Tue Mar 04 22:55:46 GMT 2025","broken","Tue Mar 04 22:56:48 GMT 2025","","Navigation Menu","",""
"","6062","Get the lists of Recent Post & Assert the text","","Mon Mar 03 23:14:13 GMT 2025","passed","Mon Mar 03 23:14:19 GMT 2025","","","",""
"","1120","Find heading element & assert the title","","Tue Mar 04 23:33:17 GMT 2025","passed","Tue Mar 04 23:33:18 GMT 2025","","Home","",""
"","1553","Find heading element & assert the title","","Tue Mar 04 22:56:13 GMT 2025","passed","Tue Mar 04 22:56:14 GMT 2025","","Home","",""
"","10800","get the text of all menu item & asset them","","Tue Mar 04 22:55:57 GMT 2025","passed","Tue Mar 04 22:56:08 GMT 2025","","Navigation Menu","",""
"","7783","Get the lists of Recent Post & Assert the text","","Mon Mar 03 23:14:09 GMT 2025","passed","Mon Mar 03 23:14:17 GMT 2025","","","",""
"","2359","Click get started button & Asser url contain get started text","","Tue Mar 04 23:33:13 GMT 2025","passed","Tue Mar 04 23:33:15 GMT 2025","","Home","",""
"","5568","get the text of all menu item & asset them","","Tue Mar 04 11:49:05 GMT 2025","passed","Tue Mar 04 11:49:10 GMT 2025","","Navigation Menu","",""
"","7293","Get the lists of Recent Post & Assert the text","","Mon Mar 03 23:14:08 GMT 2025","passed","Mon Mar 03 23:14:16 GMT 2025","","","",""
"","5441","Open URL & assert title","","Tue Mar 04 22:55:52 GMT 2025","passed","Tue Mar 04 22:55:58 GMT 2025","","Home","",""
"","2991","Open About Page","","Tue Mar 04 23:33:10 GMT 2025","passed","Tue Mar 04 23:33:13 GMT 2025","","Home","",""
"","6117","Open URL & assert title","","Tue Mar 04 23:33:04 GMT 2025","passed","Tue Mar 04 23:33:10 GMT 2025","","Home","",""
"","1900","Click get started button & Asser url contain get started text","","Tue Mar 04 22:56:08 GMT 2025","passed","Tue Mar 04 22:56:10 GMT 2025","","Home","",""
